ticker,start_date,end_date
FOXA,12/20/04,
FRT,2/1/16,
FSLR,12/19/22,
FTNT,10/11/18,
FTV,7/5/16,
GD,1/2/96,
GDDY,6/24/24,
GE,1/2/96,
GEHC,1/4/23,
GEN,11/8/22,
GEV,4/3/24,
GILD,7/1/04,
GIS,1/2/96,
GL,8/8/19,
GLW,1/2/96,
GM,6/7/13,
GNRC,3/22/21,
GOOG,4/3/14,
GOOGL,4/3/06,
GPC,1/2/96,
GPN,4/25/16,
GRMN,12/12/12,
GS,7/22/02,
GWW,1/2/96,
HAL,1/2/96,
HAS,1/2/96,
HBAN,8/6/97,
HCA,1/27/15,
HD,1/2/96,
HES,1/2/96,
HIG,1/2/96,
HII,1/3/18,
HLT,6/19/17,
HOLX,3/30/16,
HON,1/2/96,
HPE,11/2/15,
HPQ,1/2/96,
HRL,3/4/09,
HSIC,3/18/15,
HST,3/20/07,
HSY,1/2/96,
HUBB,10/18/23,
HUM,1/2/96,
HWM,4/6/20,
IBM,1/2/96,
ICE,9/26/07,
IDXX,1/5/17,
IEX,8/9/19,
IFF,1/2/96,
INCY,2/28/17,
INTC,1/2/96,
INTU,12/11/00,
INVH,9/19/22,
IP,1/2/96,
IPG,1/2/96,
IQV,8/29/17,
IR,11/17/10,
IRM,1/6/09,
ISRG,6/2/08,
IT,4/5/17,
ITW,1/2/96,
IVZ,8/21/08,
J,12/10/19,
JBHT,7/1/15,
JBL,10/18/23,
JCI,1/2/96,
JKHY,11/13/18,
JNJ,1/2/96,
JNPR,6/2/06,
JPM,1/2/96,
K,1/2/96,
KDP,6/21/22,
KEY,1/2/96,
KEYS,11/6/18,
KHC,7/6/15,
KIM,4/3/06,
KKR,6/24/24,
KLAC,9/15/97,
KMB,1/2/96,
KMI,5/25/12,
KMX,6/28/10,
KO,1/2/96,
KR,1/2/96,
KVUE,8/25/23,
L,1/2/96,
LDOS,8/9/19,
LEN,10/4/05,
LH,11/1/04,
LHX,6/1/19,
LII,12/23/24,
LIN,11/6/18,
LKQ,5/23/16,
LLY,1/2/96,
LMT,1/2/96,
LNT,7/1/16,
LOW,1/2/96,
LRCX,6/5/12,
LULU,10/18/23,
LUV,1/2/96,
LVS,10/3/19,
LW,12/3/18,
LYB,9/5/12,
LYV,12/23/19,
MA,7/18/08,
MAA,12/2/16,
MAR,5/21/98,
MAS,1/2/96,
MCD,1/2/96,
MCHP,9/7/07,
MCK,1/13/99,
MCO,1/2/96,
MDLZ,4/2/07,
MDT,1/2/96,
MET,12/11/00,
META,6/9/22,
MGM,7/26/17,
MHK,12/23/13,
MKC,3/21/03,
MKTX,7/1/19,
MLM,7/2/14,
MMC,1/2/96,
MMM,1/2/96,
MNST,6/29/12,
MO,1/2/96,
MOH,3/2/22,
MOS,9/26/11,
MPC,7/1/11,
MPWR,2/12/21,
MRK,1/2/96,
MRNA,7/21/21,
MS,1/2/96,
MSCI,4/4/18,
MSFT,1/2/96,
MSI,1/2/96,
MTB,2/27/04,
MTCH,9/20/21,
MTD,9/6/16,
MU,1/2/96,
NCLH,10/13/17,
NDAQ,10/22/08,
NDSN,2/15/22,
NEE,1/2/96,
NEM,1/2/96,
NFLX,12/20/10,
NI,11/2/00,
NKE,1/2/96,
NOC,1/2/96,
NOW,11/21/19,
NRG,1/29/10,
NSC,1/2/96,
NTAP,6/25/99,
NTRS,1/30/98,
NUE,1/2/96,
NVDA,11/30/01,
NVR,9/26/19,
NWS,9/21/15,
NWSA,7/1/13,
NXPI,3/22/21,
O,4/7/15,
ODFL,12/9/19,
OKE,3/15/10,
OMC,12/24/97,
ON,6/21/22,
ORCL,1/2/96,
ORLY,3/27/09,
OTIS,4/3/20,
OXY,1/2/96,
PANW,6/20/23,
PARA,2/17/22,
PAYC,1/28/20,
PAYX,10/1/98,
PCAR,1/2/96,
PCG,10/3/22,
PEG,1/2/96,
PEP,1/2/96,
PFE,1/2/96,
PFG,7/22/02,
PG,1/2/96,
PGR,8/4/97,
PH,1/2/96,
PHM,1/2/96,
PKG,7/26/17,
PLD,7/17/03,
PLTR,9/23/24,
PM,3/31/08,
PNC,1/2/96,
PNR,10/1/12,
PNW,10/4/99,
PODD,3/15/23,
POOL,10/7/20,
PPG,1/2/96,
PPL,1/2/96,
PRU,7/22/02,
PSA,8/19/05,
PSX,5/1/12,
PTC,4/20/21,
PWR,7/1/09,
PYPL,7/20/15,
QCOM,7/22/99,
RCL,12/5/14,
REG,3/2/17,
REGN,5/1/13,
RF,8/28/98,
RJF,3/20/17,
RL,2/2/07,
RMD,7/26/17,
ROK,1/2/96,
ROL,10/1/18,
ROP,12/23/09,
ROST,12/21/09,
RSG,12/5/08,
RTX,4/3/20,
RVTY,5/16/23,
SBAC,9/1/17,
SBUX,6/8/00,
SCHW,6/2/97,
SHW,1/2/96,
SJM,11/6/08,
SLB,1/2/96,
SMCI,3/18/24,
SNA,1/2/96,
SNPS,3/16/17,
SO,1/2/96,
SOLV,4/3/24,
SPG,6/26/02,
SPGI,1/2/96,
SRE,6/29/98,
STE,12/23/19,
STLD,12/22/22,
STT,8/18/97,
STX,7/2/12,
STZ,7/5/05,
SW,7/8/24,
SWK,1/2/96,
SWKS,3/12/15,
SYF,11/18/15,
SYK,12/12/00,
SYY,1/2/96,
T,1/2/96,
TAP,1/2/96,
TDG,6/3/16,
TDY,6/22/20,
TECH,8/30/21,
TEL,10/17/11,
TER,9/21/20,
TFC,12/9/19,
TFX,1/18/19,
TGT,1/2/96,
TJX,1/2/96,
TMO,1/2/97,
TMUS,7/15/19,
TPL,11/26/24,
TPR,9/1/04,
TRGP,10/12/22,
TRMB,1/21/21,
TROW,10/13/99,
TRV,1/2/96,
TSCO,1/24/14,
TSLA,12/21/20,
TSN,8/11/05,
TT,3/3/20,
TTWO,3/19/18,
TXN,1/2/96,
TXT,1/2/96,
TYL,6/22/20,
UAL,9/3/15,
UBER,10/18/23,
UDR,3/7/16,
UHS,9/22/14,
ULTA,4/18/16,
UNH,1/2/96,
UNP,1/2/96,
UPS,7/22/02,
URI,9/22/14,
USB,1/2/96,
V,12/21/09,
VICI,6/8/22,
VLO,4/29/04,
VLTO,10/2/23,
VMC,7/1/99,
VRSK,10/8/15,
VRSN,2/1/06,
VRTX,9/23/13,
VST,5/8/24,
VTR,3/4/09,
VTRS,11/17/20,
VZ,1/2/96,
WAB,2/27/19,
WAT,1/2/02,
WBA,1/2/96,
WBD,4/11/22,
WDAY,12/23/24,
WDC,7/1/09,
WEC,10/31/08,
WELL,1/30/09,
WFC,1/2/96,
WM,7/17/98,
WMB,1/2/96,
WMT,1/2/96,
WRB,12/5/19,
WST,5/22/20,
WTW,1/20/22,
WY,1/2/96,
WYNN,11/14/08,
XEL,1/2/96,
XOM,1/2/96,
XYL,11/1/11,
YUM,10/7/97,
ZBH,8/7/01,
ZBRA,12/23/19,
ZTS,6/24/13,
